[ Valid | 001/300 ] loss = 2.01506, acc = 0.29667 -> best
[ Valid | 055/300 ] loss = 0.97630, acc = 0.67866
[ Valid | 001/300 ] loss = 2.12693, acc = 0.27039 -> best
[ Valid | 002/300 ] loss = 2.01864, acc = 0.32762 -> best
[ Valid | 003/300 ] loss = 1.99095, acc = 0.32696
[ Valid | 004/300 ] loss = 1.79814, acc = 0.38419 -> best
[ Valid | 005/300 ] loss = 1.87351, acc = 0.37687
[ Valid | 006/300 ] loss = 2.03491, acc = 0.32399
[ Valid | 007/300 ] loss = 1.80240, acc = 0.39650 -> best
[ Valid | 008/300 ] loss = 1.77503, acc = 0.41386 -> best
[ Valid | 009/300 ] loss = 1.54428, acc = 0.46296 -> best
[ Valid | 010/300 ] loss = 1.47261, acc = 0.49555 -> best
[ Valid | 011/300 ] loss = 1.47090, acc = 0.49577 -> best
[ Valid | 012/300 ] loss = 1.34619, acc = 0.53553 -> best
[ Valid | 013/300 ] loss = 1.31712, acc = 0.55026 -> best
[ Valid | 014/300 ] loss = 1.29314, acc = 0.56281 -> best
[ Valid | 015/300 ] loss = 1.25490, acc = 0.57342 -> best
[ Valid | 016/300 ] loss = 1.21146, acc = 0.58879 -> best
[ Valid | 017/300 ] loss = 1.11158, acc = 0.61856 -> best
[ Valid | 018/300 ] loss = 1.10574, acc = 0.62303 -> best
[ Valid | 019/300 ] loss = 1.08852, acc = 0.62328 -> best
[ Valid | 020/300 ] loss = 1.07828, acc = 0.63026 -> best
[ Valid | 021/300 ] loss = 1.40062, acc = 0.52587
[ Valid | 022/300 ] loss = 2.33797, acc = 0.35395
[ Valid | 023/300 ] loss = 2.56880, acc = 0.30956
[ Valid | 024/300 ] loss = 1.27906, acc = 0.55887
[ Valid | 025/300 ] loss = 1.34404, acc = 0.54381
[ Valid | 026/300 ] loss = 1.57885, acc = 0.48863
[ Valid | 027/300 ] loss = 1.21970, acc = 0.58215
[ Valid | 028/300 ] loss = 1.19341, acc = 0.60084
[ Valid | 029/300 ] loss = 1.17467, acc = 0.60045
[ Valid | 030/300 ] loss = 1.03718, acc = 0.64623 -> best
[ Valid | 031/300 ] loss = 1.10999, acc = 0.61613
[ Valid | 032/300 ] loss = 1.04012, acc = 0.65128 -> best
[ Valid | 033/300 ] loss = 1.09784, acc = 0.62998
[ Valid | 034/300 ] loss = 1.09441, acc = 0.62930
[ Valid | 035/300 ] loss = 0.94306, acc = 0.67186 -> best
[ Valid | 036/300 ] loss = 0.91570, acc = 0.69200 -> best
[ Valid | 037/300 ] loss = 0.89423, acc = 0.69900 -> best
[ Valid | 038/300 ] loss = 0.88327, acc = 0.70342 -> best
[ Valid | 039/300 ] loss = 0.87606, acc = 0.70404 -> best
[ Valid | 040/300 ] loss = 0.87847, acc = 0.70611 -> best
[ Valid | 041/300 ] loss = 1.42345, acc = 0.53068
[ Valid | 042/300 ] loss = 1.42878, acc = 0.54536
[ Valid | 043/300 ] loss = 1.54888, acc = 0.49966
[ Valid | 044/300 ] loss = 1.15634, acc = 0.61982
[ Valid | 045/300 ] loss = 1.08353, acc = 0.63510
[ Valid | 046/300 ] loss = 1.06099, acc = 0.64252
[ Valid | 047/300 ] loss = 1.10531, acc = 0.63241
[ Valid | 048/300 ] loss = 1.00319, acc = 0.66668
[ Valid | 049/300 ] loss = 1.02784, acc = 0.66429
[ Valid | 050/300 ] loss = 0.94835, acc = 0.68021
[ Valid | 051/300 ] loss = 0.88222, acc = 0.70736 -> best
[ Valid | 052/300 ] loss = 0.93227, acc = 0.69252
[ Valid | 053/300 ] loss = 0.87854, acc = 0.70879 -> best
[ Valid | 054/300 ] loss = 0.95540, acc = 0.68542
[ Valid | 055/300 ] loss = 0.87346, acc = 0.71986 -> best
[ Valid | 056/300 ] loss = 0.80571, acc = 0.74074 -> best
[ Valid | 057/300 ] loss = 0.79781, acc = 0.74274 -> best
[ Valid | 058/300 ] loss = 0.79337, acc = 0.74186
[ Valid | 059/300 ] loss = 0.78058, acc = 0.74466 -> best
[ Valid | 060/300 ] loss = 0.78389, acc = 0.74449
[ Valid | 061/300 ] loss = 1.21902, acc = 0.60772
[ Valid | 062/300 ] loss = 1.10091, acc = 0.63893
[ Valid | 063/300 ] loss = 1.05251, acc = 0.65041
[ Valid | 064/300 ] loss = 1.04824, acc = 0.66206
[ Valid | 065/300 ] loss = 0.94146, acc = 0.68768
[ Valid | 066/300 ] loss = 1.11380, acc = 0.64284
[ Valid | 067/300 ] loss = 1.10326, acc = 0.64505
[ Valid | 068/300 ] loss = 1.01404, acc = 0.66935
[ Valid | 069/300 ] loss = 0.92626, acc = 0.69673
[ Valid | 070/300 ] loss = 0.93749, acc = 0.69400
[ Valid | 071/300 ] loss = 0.94142, acc = 0.69103
[ Valid | 072/300 ] loss = 1.06043, acc = 0.65250
[ Valid | 073/300 ] loss = 0.81470, acc = 0.73644
[ Valid | 074/300 ] loss = 0.80561, acc = 0.73699
[ Valid | 075/300 ] loss = 0.76416, acc = 0.75365 -> best
[ Valid | 076/300 ] loss = 0.77092, acc = 0.75537 -> best
[ Valid | 077/300 ] loss = 0.76000, acc = 0.74910
[ Valid | 078/300 ] loss = 0.74997, acc = 0.75939 -> best
[ Valid | 079/300 ] loss = 0.74531, acc = 0.75994 -> best
[ Valid | 080/300 ] loss = 0.74041, acc = 0.76417 -> best
[ Valid | 081/300 ] loss = 1.19702, acc = 0.62360
[ Valid | 082/300 ] loss = 1.25406, acc = 0.62119
[ Valid | 083/300 ] loss = 1.08715, acc = 0.65798
[ Valid | 084/300 ] loss = 0.93173, acc = 0.69584
[ Valid | 085/300 ] loss = 0.93640, acc = 0.70100
[ Valid | 086/300 ] loss = 1.44355, acc = 0.55595
[ Valid | 087/300 ] loss = 0.96550, acc = 0.68950
[ Valid | 088/300 ] loss = 0.97185, acc = 0.68955
[ Valid | 089/300 ] loss = 0.89950, acc = 0.71539
[ Valid | 090/300 ] loss = 1.14537, acc = 0.65922
[ Valid | 091/300 ] loss = 0.87063, acc = 0.72532
[ Valid | 092/300 ] loss = 0.78768, acc = 0.74247
[ Valid | 093/300 ] loss = 0.92707, acc = 0.71231
[ Valid | 094/300 ] loss = 0.78623, acc = 0.74389
[ Valid | 095/300 ] loss = 0.79966, acc = 0.74843
[ Valid | 096/300 ] loss = 0.72563, acc = 0.76406
[ Valid | 097/300 ] loss = 0.72582, acc = 0.76861 -> best
[ Valid | 098/300 ] loss = 0.72777, acc = 0.76502
[ Valid | 099/300 ] loss = 0.72491, acc = 0.77136 -> best
[ Valid | 100/300 ] loss = 0.72334, acc = 0.76712
[ Valid | 101/300 ] loss = 0.98662, acc = 0.67690
[ Valid | 102/300 ] loss = 0.95430, acc = 0.69704
[ Valid | 103/300 ] loss = 0.96158, acc = 0.69773
[ Valid | 104/300 ] loss = 0.97787, acc = 0.69914
[ Valid | 105/300 ] loss = 0.99324, acc = 0.70520
[ Valid | 106/300 ] loss = 0.97165, acc = 0.69011
[ Valid | 107/300 ] loss = 0.98073, acc = 0.70514
[ Valid | 108/300 ] loss = 1.08497, acc = 0.68924
[ Valid | 109/300 ] loss = 0.85576, acc = 0.73595
[ Valid | 110/300 ] loss = 0.79434, acc = 0.74279
[ Valid | 111/300 ] loss = 0.91302, acc = 0.72377
[ Valid | 112/300 ] loss = 0.81976, acc = 0.74331
[ Valid | 113/300 ] loss = 0.73874, acc = 0.76411
[ Valid | 114/300 ] loss = 0.71860, acc = 0.77471 -> best
[ Valid | 115/300 ] loss = 0.76018, acc = 0.76299
[ Valid | 116/300 ] loss = 0.70960, acc = 0.77522 -> best
[ Valid | 117/300 ] loss = 0.71152, acc = 0.78425 -> best
[ Valid | 118/300 ] loss = 0.70639, acc = 0.78496 -> best
[ Valid | 119/300 ] loss = 0.70488, acc = 0.78514 -> best
[ Valid | 120/300 ] loss = 0.70596, acc = 0.78640 -> best
[ Valid | 121/300 ] loss = 1.28928, acc = 0.63952
[ Valid | 122/300 ] loss = 0.91644, acc = 0.71235
[ Valid | 123/300 ] loss = 2.54254, acc = 0.41542
[ Valid | 124/300 ] loss = 0.93817, acc = 0.71605
[ Valid | 125/300 ] loss = 0.89986, acc = 0.71901
[ Valid | 126/300 ] loss = 1.00516, acc = 0.70786
[ Valid | 127/300 ] loss = 0.92227, acc = 0.72887
[ Valid | 128/300 ] loss = 0.84643, acc = 0.74671
[ Valid | 129/300 ] loss = 0.83368, acc = 0.74424
[ Valid | 130/300 ] loss = 0.91141, acc = 0.73728
[ Valid | 131/300 ] loss = 0.79209, acc = 0.76902
[ Valid | 132/300 ] loss = 0.72580, acc = 0.78732 -> best
[ Valid | 133/300 ] loss = 0.78269, acc = 0.76412
[ Valid | 134/300 ] loss = 0.72634, acc = 0.78695
[ Valid | 135/300 ] loss = 0.71499, acc = 0.78641
[ Valid | 136/300 ] loss = 0.71400, acc = 0.79306 -> best
[ Valid | 137/300 ] loss = 0.70768, acc = 0.79210
[ Valid | 138/300 ] loss = 0.70733, acc = 0.79215
[ Valid | 139/300 ] loss = 0.69549, acc = 0.79517 -> best
[ Valid | 140/300 ] loss = 0.69419, acc = 0.79389
[ Valid | 141/300 ] loss = 1.08238, acc = 0.68964
[ Valid | 142/300 ] loss = 1.08077, acc = 0.70825
[ Valid | 143/300 ] loss = 1.02199, acc = 0.70009
[ Valid | 144/300 ] loss = 0.93562, acc = 0.72773
[ Valid | 145/300 ] loss = 0.94850, acc = 0.71274
[ Valid | 146/300 ] loss = 0.84486, acc = 0.74486
[ Valid | 147/300 ] loss = 0.89634, acc = 0.73249
[ Valid | 148/300 ] loss = 0.82869, acc = 0.75268
[ Valid | 149/300 ] loss = 0.90510, acc = 0.73979
[ Valid | 150/300 ] loss = 0.80124, acc = 0.75876
[ Valid | 151/300 ] loss = 0.83276, acc = 0.75868
[ Valid | 152/300 ] loss = 0.84226, acc = 0.76621
[ Valid | 153/300 ] loss = 0.76862, acc = 0.77646
[ Valid | 154/300 ] loss = 0.74657, acc = 0.79084
[ Valid | 155/300 ] loss = 0.72641, acc = 0.79032
[ Valid | 156/300 ] loss = 0.72738, acc = 0.79008
[ Valid | 157/300 ] loss = 0.73628, acc = 0.79445
[ Valid | 158/300 ] loss = 0.73787, acc = 0.79122
[ Valid | 159/300 ] loss = 0.72553, acc = 0.79487
[ Valid | 160/300 ] loss = 0.73121, acc = 0.79272
